pl_name,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_snum,sy_pnum,disc_year
Kepler-80 g,,1.13,,,4540.0,0.678,0.83,,369.451,1,6,2017
Kepler-411 b,0.0375,2.401,0.146,,,0.82,0.87,,153.676,2,4,2013
HD 66428 c,9.408,,0.207,,,,1.01,,53.2817,1,2,2021
Kepler-2000 b,0.0562,2.73,0.0,18.73,3757.0,0.576,0.581,,320.588,1,2,2023
Kepler-204 b,0.117,2.53,,,5812.0,1.238,,,686.723,1,2,2014
Kepler-54 d,0.126,1.53,,,4252.0,0.554,,,271.701,1,3,2014
Kepler-1222 b,,0.79,,,5239.0,0.8,0.84,,415.218,1,1,2016
HD 3765 b,2.108,,0.298,,5049.8,0.83061,0.851785,,17.926,1,1,2021
WASP-29 b,,8.63093,0.03,,4800.0,0.79,0.77,,87.5953,1,1,2010
Kepler-561 b,,6.96,,,5646.0,0.94,0.96,,621.378,1,2,2016
Kepler-114 b,0.053,1.26,,,4605.0,0.667,,,259.533,1,3,2014
Kepler-276 b,0.119,2.87,,,6105.0,1.046,,,1144.86,1,3,2014
HAT-P-32 b,0.03397,22.19382,0.159,1841.0,6001.0,1.367,1.132,0.33806,289.205,2,1,2011
Kepler-400 c,0.134,1.49,,,5886.0,1.145,,,845.97,1,2,2014
Kepler-229 c,0.117,4.92,,,5120.0,0.728,,,826.265,1,3,2014
Kepler-1783 b,,1.31946731,,,5129.0,1.781,0.887,,264.078,1,1,2021
Kepler-1624 b,,5.7,,,3636.0,0.47,0.5,,258.979,1,1,2016
LHS 1678 c,0.0327,0.941,0.039,13.5,3490.0,0.329,0.345,-1.83863,19.8782,2,3,2021
Kepler-725 c,0.6744,,0.436,1.4,5395.0,0.88,0.95,,758.469,1,2,2025
Kepler-117 b,0.1445,8.059,0.0493,,6150.0,1.606,1.129,,1455.57,1,2,2014
Kepler-33 e,0.2138,4.02,0.0,,5904.0,1.82,1.291,0.556,1209.16,1,5,2011
Kepler-852 b,,2.54,,,6100.0,1.16,1.19,,1619.03,1,1,2016
Kepler-444 e,0.0696,0.546,0.1,,5046.0,0.752,0.758,,36.4396,3,5,2015
Kepler-350 c,,3.1,,,,1.25,1.0,,956.859,1,3,2013
Kepler-219 b,0.057,2.95,,,5786.0,1.491,,,787.07,1,3,2014
Kepler-1985 b,0.0426,2.27,0.0,382.68,5370.0,0.966,0.877,,,1,1,2023
WASP-89 b,0.0427,11.65736,0.193,,5130.0,0.88,0.92,,290.946,1,1,2015
Kepler-1687 b,,1.65623882,,,4132.0,0.726119,0.65,-0.85865,417.014,1,1,2020
Kepler-959 b,,4.38,,,7005.0,2.01,1.6,,807.729,1,1,2016
TOI-1744.01,0.164086,2.68,,63.31,6179.0,1.14,1.18,,114.39,1,1,2024
Kepler-312 c,0.153,3.15,,,6115.0,1.467,,,797.72,1,2,2014
Kepler-359 b,0.178,3.53,,,6248.0,1.086,,,1443.21,1,3,2014
Kepler-1366 b,,1.43,,,4070.0,0.6,0.62,,465.826,1,1,2016
Kepler-186 f,0.432,1.17,0.04,0.3,3755.0,0.523,0.544,-1.26,177.594,1,5,2014
K2-415 b,0.027,1.015,,4.82,3173.0,0.1965,0.1635,-2.45469,21.8182,1,1,2023
Kepler-11 c,0.107,2.87,0.026,,5663.0,1.065,0.961,,646.346,1,6,2010
HATS-13 b,0.04057,13.585308,0.181,,5523.0,0.887,0.962,,421.855,1,1,2015
Kepler-58 d,0.236,2.94,,,6099.0,1.127,,,969.252,1,4,2014
Kepler-307 c,,2.2,,44.0,5367.0,0.814,0.907,,575.581,1,2,2013
Kepler-221 e,0.13,2.63,,,5243.0,0.821,,,385.231,1,4,2014
Kepler-245 c,0.124,2.18,,,5100.0,0.795,,,861.527,1,4,2014
Kepler-136 b,0.106,2.05,,,6165.0,1.355,,,420.818,2,2,2014
WASP-52 b,0.0272,14.24,0.0,,5000.0,0.79,0.87,,174.818,1,1,2012
L 98-59 c,0.0309,1.329,0.002,12.7,3415.0,0.3155,0.2923,-1.91364,10.6194,1,5,2019
Kepler-315 b,0.402,3.77,,,5796.0,1.037,,,1160.63,1,2,2014
GJ 179 b,2.41,,0.21,,3370.0,0.38,0.357,-1.796,12.356,1,1,2009
Kepler-79 d,0.287,7.16,0.025,,6174.0,1.302,1.165,0.342,1020.72,1,4,2014
Kepler-164 e,0.4025,4.24,0.0,7.99,5888.0,1.097,0.966,,890.758,1,4,2023
Kepler-595 b,,3.708,,,,0.821,0.93,,643.009,1,2,2016
Kepler-693 b,,10.18,,,4881.0,0.72,0.76,,1151.51,2,1,2016
TOI-5386 A b,0.04856,14.70618268,0.072,817.0,6094.0,1.245,1.165,0.28488,394.486,2,1,2025
Kepler-281 b,0.117,2.82,,,5723.0,0.899,,,1745.45,1,3,2014
Kepler-319 b,0.051,1.63,,,5526.0,0.903,,,503.436,1,3,2014
Kepler-122 f,,1.75,,,,0.949,1.03,,1027.45,1,5,2014
Kepler-419 c,1.68,,0.184,,6430.0,1.74,1.39,,1011.36,1,2,2014
Kepler-531 b,,2.78,,,4893.0,0.75,0.78,,252.762,1,1,2016
Qatar-7 b,0.0352,19.0553,0.0,,6387.0,1.564,1.409,0.56348,705.981,1,1,2019
Kepler-82 d,0.034,1.77,,,5428.0,0.945,,,904.326,1,5,2014
Kepler-36 c,,3.679,0.0,191.0,5979.0,1.634,1.034,,527.956,1,2,2012
KOI-94 c,0.1013,4.32,0.43,,6182.0,1.52,1.277,0.479,477.052,2,4,2013
MOA-2010-BLG-117L b,2.42,,,,,,0.58,,3500.0,1,1,2018
Kepler-354 d,0.146,1.24,,,4648.0,0.674,,,554.064,1,3,2014
K2-389 b,,2.184,,,5782.0,1.084,0.802,,259.208,1,2,2022
Kepler-1302 b,,1.43,,,5236.0,0.82,0.86,,634.58,1,1,2016
Kepler-1129 b,,2.96,,,5831.0,1.0,1.0,,1183.88,1,2,2016
GJ 514 b,0.422,,0.45,0.28,3728.0,0.5,0.51,-1.36653,7.61778,1,1,2022
HAT-P-26 b,,7.06167,0.12,,5079.0,0.87,1.12,,141.837,1,1,2010
Kepler-48 c,,2.71,,,5194.0,0.89,0.88,,306.738,1,5,2012
Kepler-52 d,0.182,1.95,,,4263.0,0.556,,,321.542,1,3,2014
Kepler-231 c,0.114,1.93,,,3767.0,0.49,,,316.618,1,2,2014
Kepler-1325 b,,2.86,,,5550.0,0.91,0.93,,973.368,1,1,2016
TOI-1248 b,0.051,6.8084859,0.0,,5205.0,0.8686,0.9042,-0.30016,168.735,1,1,2024
Kepler-1806 b,,2.35560189,,,5311.0,0.788,0.884,,978.066,1,1,2021
Kepler-32 d,0.13,2.7,,,3900.0,0.53,0.58,,323.847,1,5,2012
