pl_name,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_snum,sy_pnum,disc_year,habitable_candidate
K2-266 b,0.01306,3.3,,879.5,4285.0,0.703,0.686,-0.82333,77.5586,2,4,2018,0
K2-266 d,0.1035,2.93,0.047,13.95,4285.0,0.703,0.686,-0.82333,77.5586,2,4,2018,0
Kepler-1708 b,1.64,9.96,0.4,0.561,6157.0,1.117,1.088,0.182,1666.69,1,1,2021,0
HD 23472 b,0.1162,2.0,0.072,16.0,4684.0,0.71,0.67,-0.62525,39.0341,1,5,2019,0
HD 5278 b,0.1202,2.45,0.08,132.0,6203.0,1.194,1.126,0.28035,57.5846,1,2,2021,0
TOI-1231 b,0.1288,3.65,0.087,1.93,3553.0,0.476,0.485,-1.48678,27.6227,1,1,2021,0
TOI-1201 b,0.0287,2.415,0.0,40.6,3476.0,0.508,0.512,-1.46852,37.8871,2,1,2021,0
TOI-1431 b,0.046,16.70138124,0.0022,5300.0,7690.0,1.92,1.9,1.06819,148.925,1,1,2021,0
Kepler-1653 b,0.4706,2.17,,0.98,4807.0,0.693,0.719,-0.636,,1,1,2017,0
K2-315 b,,0.95,,7.45,3300.0,0.196,0.174,-2.38722,56.9686,1,1,2020,0
Kepler-443 b,0.495,2.33,0.11,0.86,4723.0,0.706,0.738,-0.664,802.271,1,1,2015,0
Kepler-1126 c,0.6193,1.45,0.0,2.06,5678.0,0.921,0.794,,635.736,1,2,2023,0
TOI-1064 b,0.06152,2.587,0.047,62.9,4734.0,0.726,0.748,-0.62342,68.0726,1,2,2022,0
HATS-75 b,0.032742,9.90873894,0.064,59.26,3790.4,0.5848,0.6017,-1.19661,194.964,1,1,2021,0
GJ 3929 b,0.0252,1.09,0.0,17.3,3384.0,0.32,0.313,-1.96257,15.8095,1,2,2022,0
TOI-1227 b,0.0886,9.57246952,,3.21,3072.0,0.56,0.17,-2.60033,100.641,1,1,2022,0
TOI-1246 b,0.049,3.01,,196.0,5151.0,0.86,0.87,,169.422,1,4,2022,0
HD 15906 c,0.141,2.93,0.04,13.37,4757.0,0.762,0.79,-0.56864,45.5621,1,2,2023,0
HIP 29442 c,0.04518,1.551,,451.0,5289.0,0.98,0.901,,68.192,1,3,2023,0
TOI-622 b,0.0708,9.2362001,0.42,602.0,6400.0,1.415,1.313,0.47407,123.297,1,1,2023,0
TOI-815 b,0.0903,2.94,0.2,36.9,4869.0,0.77,0.776,,59.7117,2,2,2024,0
TOI-815 c,0.193,2.62,0.22,8.03,4869.0,0.77,0.776,,59.7117,2,2,2024,0
TOI-836 b,0.0422,1.704,0.053,78.838,4552.0,0.665,0.678,,27.5024,1,2,2023,0
TOI-1052 b,0.09103,2.87,0.18,246.0,6146.0,1.264,1.204,,129.804,1,2,2023,0
Kepler-1514 c,0.0997,1.1758241,0.32,193.0,6145.0,1.289,1.196,0.32838,397.292,1,2,2020,0
TOI-1301.01,0.059866,2.477,,72.55,4820.0,0.732,0.77,,90.8693,1,1,2024,0
TOI-1448 b,0.0567,2.749,0.36,5.45,3412.0,0.38,0.372,-1.75498,73.3345,1,1,2024,0
HD 136352 c,0.1721,2.916,0.0,35.1,5664.0,1.058,0.87,0.0162,14.682,1,3,2019,0
TOI-1680 b,0.03144,1.466,,4.41,3225.0,0.2106,0.1798,-2.36251,37.2209,1,1,2023,0
TOI-1691 b,0.129365,3.66,,59.13,5759.0,1.0,1.03,,111.445,1,1,2024,0
TOI-1723 b,0.113496,3.435,,92.36,5777.0,1.09,1.04,,100.727,1,1,2024,0
TOI-1772.01,0.078375,2.905,,140.93,5583.0,0.995,0.99,,97.7562,1,1,2024,0
TOI-1803 b,0.06,2.99,0.0,58.0,4687.0,0.715,0.756,-0.65365,119.24,1,2,2025,0
TOI-2458 b,0.0482,2.83,0.087,865.0,6005.0,1.31,1.05,,112.958,1,2,2024,0
